geolocation_zip_code_prefix,geolocation_lat,geolocation_lng
2304,-23.480823705875945,-46.60545933153238
2305,-23.480094457602288,-46.60676524219523
2306,-23.463368811541386,-46.60347841661838
2307,-23.480890537528314,-46.6072766426923
2308,-23.476417941223538,-46.604210368193165
2309,-23.475673476890364,-46.604735426067066
2310,-23.472814658449078,-46.600729145013894
2311,-23.46912288961651,-46.601679503629484
2312,-23.464805059922668,-46.59871241697142
2313,-23.463955418022827,-46.59989969784536
2314,-23.462064417366516,-46.59934771732716
2315,-23.459996431220226,-46.59974970395199
2316,-23.462265836782144,-46.593839689926625
2317,-23.45811932550876,-46.593167466510984
2318,-23.45085923626503,-46.59011057457601
2319,-23.449721360386036,-46.59336446361451
2320,-23.451350418041013,-46.59842363518737
2321,-23.447202459205567,-46.58897798076896
2322,-23.445705523437535,-46.5936991329905
2323,-23.456324748711943,-46.601096526577514
2324,-23.47795550890625,-46.59847671510719
2325,-23.453536818482117,-46.58604068922076
2326,-23.47221830106892,-46.602473400862216
2327,-23.447209508783097,-46.566678313273556
2328,-23.51891636478149,-46.59730688229231
2329,-23.48360275125004,-46.6066769879875
2330,-23.485553693727844,-46.61749060119428
2331,-23.4839241728734,-46.616225634779624
2332,-23.482714412285375,-46.621553439824226
2333,-23.480670424670052,-46.62137685302421
2334,-23.48399524579755,-46.619583993019695
2335,-23.483362773855806,-46.617055295327404
2336,-23.481297618595416,-46.61693997878473
2337,-23.478704803069746,-46.614513396023284
2338,-23.47549861453998,-46.61812677962586
2339,-23.477588961157334,-46.615247302560746
2340,-23.45960481825392,-46.61571276329234
2341,-23.465235627066537,-46.615475558502155
2342,-23.47383686606938,-46.61059399785838
2343,-23.468573669859765,-46.60545612079221
2344,-23.46931158161913,-46.610305088387726
2345,-23.468844211652655,-46.61523997261247
2346,-23.471228484637706,-46.608230787896424
2347,-23.464036814263682,-46.607255081725235
2348,-23.460535505963218,-46.61107425641059
2349,-23.459790579302044,-46.60444123792383
2350,-23.46072407799677,-46.60160479445191
2351,-23.454944106097237,-46.599707925862795
2352,-23.454383193070026,-46.596240515572745
2353,-23.452628659785415,-46.60534520521928
2354,-23.45502574621651,-46.60431346669782
2355,-23.454706533107753,-46.611404072472595
2356,-23.450973625996326,-46.61218071978756
2357,-23.44743061592135,-46.61396278005333
2358,-23.454447479381244,-46.608758248906106
2359,-23.44588174360123,-46.61923035751618
2360,-23.436841799653443,-46.577744320649884
2361,-23.436663880278875,-46.58148978027304
2362,-23.47923482606581,-46.579633235576196
2363,-23.432328025304585,-46.576089588461336
2364,-23.433946553560627,-46.58107272782646
2365,-23.44569993335935,-46.581886355860654
2366,-23.467732746409894,-46.61054509792451
2367,-23.462270277161405,-46.59380392478858
2368,-23.403835914291076,-46.57809501590588
2370,-23.46282749747678,-46.621804750826065
2371,-23.45901472098675,-46.61867657717129
2372,-23.460094538606647,-46.62462503200486
2373,-23.45486213553573,-46.61725337322245
2374,-23.45476695670023,-46.62144325386924
2375,-23.45367712624098,-46.62503391014358
2376,-23.457618907473133,-46.62810512762747
2377,-23.456814366355744,-46.63181315561633
2378,-23.4573940764484,-46.629666444686364
2401,-23.491724436850333,-46.62677132498975
2402,-23.49033360790093,-46.62712160939036
2403,-23.493992216184438,-46.62835871344504
2404,-23.491261472058344,-46.62898231747277
2405,-23.489489892090063,-46.63285801485008
2406,-23.488006971283667,-46.63010416827911
2407,-23.484875111923657,-46.62457520306331
2408,-23.482522997672366,-46.6272897630754
2409,-23.478244240905564,-46.62488291727544
2410,-23.475816671784944,-46.623028293335686
2411,-23.475647989606816,-46.6243233037533
2413,-23.482940432703383,-46.63702493446733
2415,-23.471948352737517,-46.631370260204655
2416,-23.47771925532528,-46.628170058826655
2417,-23.47762645429374,-46.6301454800035
2418,-23.470550272349133,-46.629061771599964
2419,-23.477060130884052,-46.64012871725216
2420,-23.47418698892084,-46.63639383827207
2421,-23.4736918733981,-46.63266339287724
2422,-23.47174879024135,-46.63677317670024
2423,-23.46837495610026,-46.63341004150892
2430,-23.482103326067488,-46.64537516133471
2431,-23.48700476158065,-46.63616963115925
2432,-23.476851435914867,-46.62526514356077
2433,-23.481791749466836,-46.6362681921091
2434,-23.48332989842473,-46.63935394759159
2435,-23.480303315462365,-46.64176777956363
2436,-23.479409893054694,-46.63601237738169
2440,-23.47769375281236,-46.6482233474014
2441,-23.47306977592606,-46.6414503667967
2442,-23.47312248319718,-46.643816695070555
2443,-23.472994531200314,-46.64742941190344
2450,-23.49826168271757,-46.63778498866557
2451,-23.49916290388503,-46.64211200009374
2452,-23.50031207346475,-46.64407821290556
2460,-23.490710018591106,-46.637548988665955
2461,-23.49200316465634,-46.63900286171411
2462,-23.49180038294133,-46.64160687727221
2463,-23.488488792858018,-46.645489569583376
2464,-23.489335229999778,-46.65039082961898
2465,-23.483982800795726,-46.65555097635693
2466,-23.49537983856134,-46.642426656442225
2467,-23.4912938769211,-46.64626429449921
2468,-23.48828973823172,-46.64900199911272
2469,-23.48535531743175,-46.64478821092038
2470,-23.48496867423557,-46.649150689517754
2471,-23.48174084665137,-46.6521224556338
2472,-23.476857088052622,-46.65555959512381
2473,-23.477753613662376,-46.65181629787507
2474,-23.477266697560925,-46.65650769135154
2475,-23.479988957379497,-46.64486948882975
2478,-23.477549062877795,-46.66003241993778
2479,-23.475114155528523,-46.6564809983414
2501,-23.514912288431226,-46.661183580678575
2508,-23.509848068295785,-46.66369014308379
2510,-23.513042100765297,-46.65199446742355
2511,-23.509764435808222,-46.65095917650171
2512,-23.513719395863195,-46.65934244930917
2513,-23.561330955940825,-46.685163958174336
2514,-23.510630743633005,-46.655237650268454
2515,-23.510207653445484,-46.65788988269823
2516,-23.50897566910354,-46.65938507088062
2517,-23.50734650596733,-46.664235951188026
2518,-23.509948394903564,-46.66534774802667
2519,-23.50198109293588,-46.65543872434717
2520,-23.50315759430395,-46.65570908261468
2521,-23.503973139812274,-46.66510041964075
2522,-23.50442216582311,-46.65918306701666
2523,-23.505830147086826,-46.65562823179936
2524,-23.502716283166944,-46.65036243059807
2525,-23.50217383069566,-46.65740849857897
2526,-23.50301982653592,-46.64679628594568
2530,-23.50076770890872,-46.66045404007793
2531,-23.500936910363514,-46.65274170167209
2532,-23.499764018180493,-46.65547084356667
